epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,734.921,1.67623,1.06173,0.96118,0.23634,0.35978,0.23913,0.07529,3.00104,3.73509,1.63523,0.000555552,0.000555552,0.000555552
2,1421.7,1.6474,1.00368,0.94886,0.22734,0.34665,0.22022,0.06824,3.01979,3.65221,1.66906,0.00105621,0.00105621,0.00105621
3,2103.14,1.58348,0.94919,0.93286,0.22922,0.37543,0.21476,0.0656,2.98202,3.73865,1.64845,0.00150186,0.00150186,0.00150186
4,2782.05,1.53008,0.90035,0.92258,0.23536,0.38985,0.22945,0.07006,3.02171,4.0517,1.67242,0.00141945,0.00141945,0.00141945
5,3460.82,1.49609,0.86982,0.91336,0.23784,0.39882,0.23537,0.07595,2.96861,3.89862,1.65559,0.00133693,0.00133693,0.00133693
6,4135.98,1.46349,0.84309,0.90682,0.7347,0.39536,0.23215,0.07288,2.98489,4.00683,1.65047,0.00125442,0.00125442,0.00125442
7,4811.32,1.43862,0.82281,0.90269,0.2271,0.39207,0.22463,0.07331,2.97762,3.76147,1.65897,0.0011719,0.0011719,0.0011719
8,5487.03,1.41451,0.8012,0.89735,0.23636,0.40735,0.23718,0.07601,3.00119,4.16593,1.65441,0.00108938,0.00108938,0.00108938
9,6165.44,1.40328,0.78884,0.89401,0.2414,0.41208,0.24639,0.07939,2.95181,3.95029,1.64173,0.00100687,0.00100687,0.00100687
10,6845.91,1.38397,0.77185,0.8901,0.22903,0.40923,0.22535,0.07295,2.93632,4.14159,1.65662,0.000924352,0.000924352,0.000924352
11,7520.16,1.36691,0.76079,0.88742,0.24104,0.41336,0.24314,0.07982,2.96424,4.06984,1.65263,0.000841835,0.000841835,0.000841835
12,8192.78,1.35058,0.74507,0.88364,0.24289,0.4137,0.24785,0.0816,3.00283,4.11341,1.65214,0.000759318,0.000759318,0.000759318
13,8866.43,1.33337,0.73091,0.88071,0.23508,0.41964,0.24134,0.08075,2.9771,4.12855,1.64121,0.000676802,0.000676802,0.000676802
14,9539.78,1.31929,0.71703,0.87696,0.23454,0.42009,0.24295,0.07853,3.00936,4.12948,1.65099,0.000594286,0.000594286,0.000594286
15,10213.5,1.3043,0.7044,0.87468,0.23779,0.42029,0.24578,0.08071,3.02153,4.15881,1.65989,0.000511769,0.000511769,0.000511769
16,10886.7,1.28988,0.68968,0.8711,0.23322,0.42205,0.24405,0.07932,3.01868,4.27921,1.65915,0.000429253,0.000429253,0.000429253
17,11559.1,1.27233,0.67817,0.86772,0.23158,0.41901,0.23656,0.07676,3.03098,4.26981,1.65887,0.000346736,0.000346736,0.000346736
18,12229.9,1.25959,0.66397,0.865,0.23283,0.42493,0.24044,0.0792,3.02328,4.21564,1.6554,0.00026422,0.00026422,0.00026422
19,12901.8,1.24415,0.65188,0.86189,0.23374,0.42425,0.24232,0.07951,3.04491,4.27968,1.65617,0.000181703,0.000181703,0.000181703
20,13574.8,1.22761,0.63869,0.85968,0.23269,0.42318,0.24276,0.07906,3.03628,4.32572,1.66033,9.91865e-05,9.91865e-05,9.91865e-05
