epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1031.22,1.49983,0.99972,0.97743,0.23658,0.3682,0.23425,0.0745,2.93478,4.8476,2.17057,0.000555552,0.000555552,0.000555552
2,2031.23,1.46969,0.92961,0.96692,0.22542,0.37769,0.2381,0.07667,3.0375,3.98551,2.25674,0.00105621,0.00105621,0.00105621
3,3024.69,1.42369,0.87947,0.95157,0.23281,0.40776,0.25708,0.08507,2.93874,4.00937,2.20137,0.00150186,0.00150186,0.00150186
4,4018.33,1.38721,0.84259,0.94192,0.22387,0.41031,0.23899,0.0769,2.83378,4.16703,2.15008,0.00141945,0.00141945,0.00141945
5,5013,1.35941,0.812,0.93308,0.21812,0.40713,0.23231,0.07488,2.86407,4.28179,2.14648,0.00133693,0.00133693,0.00133693
6,6005.32,1.33145,0.78649,0.92664,0.22531,0.40753,0.24335,0.07919,2.86602,4.30874,2.20179,0.00125442,0.00125442,0.00125442
7,6995.94,1.3124,0.7655,0.92031,0.22528,0.42231,0.25329,0.08271,2.8996,4.09835,2.21335,0.0011719,0.0011719,0.0011719
8,7986.85,1.29217,0.74552,0.9163,0.22338,0.41988,0.24247,0.07754,2.89508,4.33468,2.22681,0.00108938,0.00108938,0.00108938
9,8979.83,1.28052,0.73632,0.91257,0.22356,0.41936,0.24165,0.07734,2.92606,4.34521,2.23509,0.00100687,0.00100687,0.00100687
10,9970.96,1.26481,0.71876,0.90811,0.2335,0.42366,0.24876,0.07988,2.9122,4.33709,2.21942,0.000924352,0.000924352,0.000924352
11,10938.1,1.26403,0.71315,0.90945,0.22125,0.41706,0.24426,0.07811,2.91167,4.2202,2.21879,0.000841835,0.000841835,0.000841835
12,11905.5,1.24802,0.69748,0.90541,0.22275,0.42453,0.24734,0.081,2.89023,4.33386,2.19858,0.000759318,0.000759318,0.000759318
13,12872.5,1.23078,0.68315,0.90126,0.22861,0.41467,0.25496,0.0825,2.90597,4.40455,2.2068,0.000676802,0.000676802,0.000676802
